symbol,timeframe,horizon_hours,horizon_bars,threshold,label_style,n_features,n,neutral_pct,up_pct,down_pct,balance,score,edge,n_folds,n_active_folds,med_accuracy,med_return,med_sharpe,med_win_rate,med_trades,prof_folds,reason
MATIC/USD,8h,24,3,0.005,ternary,105,3667,0.25170439050995363,0.3626943005181347,0.38560130897191164,0.9693877551429502,10.078794772387493,False,2.0,1.0,0.33560477001703576,0.0415593914400295,1.616699372046778,0.6666666666666666,3.0,1.0,acc=0.34<0.36
AVAX/USD,2h,24,12,0.05,ternary,105,21691,0.7657092803466876,0.12535152828361992,0.1089391913696925,0.9299488393387407,10.07863347319726,True,2.0,2.0,0.6285157337788917,0.03904332521946199,0.4219551612557906,0.40909090909090906,24.0,1.0,passes_all
ADA/USD,2h,24,12,0.025,ternary,105,21691,0.6096076713844452,0.18602185238117191,0.20437047623438293,0.9529995277538365,10.04985105068764,True,2.0,1.0,0.4553049289891395,0.142361594560274,1.4104191375715174,0.4722222222222222,36.0,1.0,passes_all
DOGE/USD,8h,72,9,0.025,ternary,105,5275,0.4595260663507109,0.2517535545023697,0.28872037914691945,0.9316029464611696,10.041268038848218,False,1.0,1.0,0.3298245614035088,0.22658006560428604,1.9912680388482178,0.6,15.0,1.0,acc=0.33<0.36
DOGE/USD,8h,12,2,0.025,ternary,105,5275,0.769478672985782,0.11450236966824645,0.11601895734597156,0.9934210526601184,10.038800009838207,True,2.0,1.0,0.4432748538011696,0.11515245424269197,1.2233029338148158,0.5,12.0,1.0,passes_all
FIL/USD,4h,12,3,0.008,ternary,105,10750,0.4828837209302326,0.2493953488372093,0.26772093023255816,0.9645619716461519,10.017287880438126,True,2.0,1.0,0.3853989813242784,0.08172170557556055,1.3593082539525594,0.6,5.0,1.0,passes_all
ADA/USD,4h,8,2,0.005,ternary,105,10750,0.47311627906976744,0.2573023255813954,0.2695813953488372,0.9766949152984693,9.89213809359626,False,2.0,2.0,0.345217883418223,0.12428980309508134,1.6366815241329,0.5934065934065934,10.0,2.0,acc=0.35<0.36
DOT/USD,2h,72,36,0.025,ternary,105,21700,0.36216589861751153,0.29898617511520736,0.3388479262672811,0.937504515667665,9.83876369378812,True,2.0,1.0,0.39420935412026725,0.16367575921163643,1.8122689190750838,0.5128205128205128,78.0,1.0,passes_all
MATIC/USD,2h,8,4,0.025,ternary,105,15259,0.7933023133888197,0.10347991349367586,0.10321777311750442,0.9987317691881268,9.824394601032154,False,2.0,1.0,0.7737197300516078,-0.03047853459842172,-1.263598089339642,0.3333333333333333,9.0,0.0,"wr=0.33<0.36, prof=0%<34%, sharpe=-1.26<0.2"
MATIC/USD,1h,4,4,0.005,ternary,105,30720,0.46676432291666664,0.26376953125,0.26946614583333334,0.9893168915406987,9.74436528895655,True,2.0,1.0,0.45918367346938777,0.009440625299340172,1.210691819568793,0.5,4.0,1.0,passes_all
ADA/USD,2h,12,6,0.005,ternary,105,21691,0.33940343921442073,0.3170900373426767,0.3435065234429026,0.9600111662270499,9.729035109992491,True,2.0,2.0,0.3791423001949318,0.07442210942654091,1.438613348518098,0.5505050505050505,10.0,2.0,passes_all
