2026-04-16 17:30:52.581 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  12 | val_loss=0.9043 | val_acc=0.2757 | bal_acc=0.3454 | lr=0.001000
2026-04-16 17:30:52.978 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  13 | val_loss=0.8901 | val_acc=0.2688 | bal_acc=0.3650 | lr=0.001000
2026-04-16 17:30:53.305 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  14 | val_loss=0.8321 | val_acc=0.3390 | bal_acc=0.3911 | lr=0.001000
2026-04-16 17:30:53.649 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  15 | val_loss=0.7758 | val_acc=0.3938 | bal_acc=0.3644 | lr=0.001000
2026-04-16 17:30:53.965 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  16 | val_loss=0.8047 | val_acc=0.3476 | bal_acc=0.3651 | lr=0.001000
2026-04-16 17:30:54.291 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  17 | val_loss=0.8524 | val_acc=0.3459 | bal_acc=0.3851 | lr=0.001000
2026-04-16 17:30:54.626 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  18 | val_loss=0.9221 | val_acc=0.3664 | bal_acc=0.3861 | lr=0.001000
2026-04-16 17:30:54.929 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  19 | val_loss=0.8556 | val_acc=0.4161 | bal_acc=0.3426 | lr=0.001000
2026-04-16 17:30:55.259 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  20 | val_loss=0.8822 | val_acc=0.3202 | bal_acc=0.3547 | lr=0.001000
2026-04-16 17:30:55.564 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  21 | val_loss=0.9928 | val_acc=0.3425 | bal_acc=0.3561 | lr=0.001000
2026-04-16 17:30:55.865 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  22 | val_loss=0.8648 | val_acc=0.3818 | bal_acc=0.3844 | lr=0.001000
2026-04-16 17:30:56.204 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  23 | val_loss=0.8784 | val_acc=0.3356 | bal_acc=0.3524 | lr=0.001000
2026-04-16 17:30:56.533 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  24 | val_loss=0.7727 | val_acc=0.4949 | bal_acc=0.4159 | lr=0.001000
