symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
OP/USD,1d,crypto,9,731,6,0,2025-10-07→2025-11-07 | 2025-11-08→2025-12-09 | 2025-12-10→2026-01-10 | 2026-01-11→2026-02-11 | 2026-02-12→2026-03-15 | 2026-03-16→2026-04-16,269,272,190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,225.8
RUNE/USD,1d,crypto,9,1242,6,0,2025-05-22→2025-07-15 | 2025-07-16→2025-09-08 | 2025-09-09→2025-11-02 | 2025-11-03→2025-12-27 | 2025-12-28→2026-02-20 | 2026-02-21→2026-04-16,399,475,368,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,318.4
EUR/USD,1h,forex,9,18019,6,0,2025-07-12→2025-08-14 | 2025-08-15→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-16,41,17901,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,3700.3
EUR/USD,4h,forex,9,4805,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,0,4804,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,62.0
EUR/USD,1d,forex,9,1732,6,0,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,0,1727,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,310.3
GBP/USD,1h,forex,9,18021,6,0,2025-07-12→2025-08-14 | 2025-08-15→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-16,18,17979,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,3630.5
GBP/USD,4h,forex,9,4818,6,0,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-23→2025-12-29 | 2025-12-29→2026-02-03 | 2026-02-03→2026-03-11 | 2026-03-11→2026-04-16,0,4818,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,785.1
GBP/USD,1d,forex,9,1732,6,0,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,7,1721,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,251.4
AUD/USD,1h,forex,9,18006,6,0,2025-07-12→2025-08-14 | 2025-08-14→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-16,91,17813,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,3947.1
AUD/USD,4h,forex,9,4817,6,0,2025-09-12→2025-10-18 | 2025-10-18→2025-11-23 | 2025-11-23→2025-12-29 | 2025-12-29→2026-02-03 | 2026-02-03→2026-03-11 | 2026-03-11→2026-04-16,5,4809,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,945.6
