symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
XMR/USD,4h,crypto,9,4804,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,509,3700,595,2,0.2937,0.0009,0.0096,0.0204,0.488,0.359,4.065,-0.0027,8191108134.643,inf,inf,19.9703,-7.1589,2,0.2556,0.1667,2,0,insufficient,55.6,0.3125,3.0,TOO_FEW_TRADES,943.1
INJ/USD,4h,crypto,9,4804,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1118,2678,1008,0,0.3333,0.0009,0.0095,0.019,0.516,0.526,6.199,-0.0007,11387900005.855,inf,inf,11.3879,-2.1387,1,0.3333,0.0,0,0,insufficient,55.1,0.25,3.0,TOO_FEW_TRADES,1135.3
EOS/USD,4h,crypto,9,3080,6,2,2025-02-13→2025-03-07 | 2025-03-08→2025-03-30 | 2025-03-31→2025-04-22 | 2025-04-23→2025-05-15 | 2025-05-16→2025-06-07 | 2025-06-08→2025-06-30,548,2019,513,1,0.3889,-0.0009,-0.0126,0.0579,0.276,0.146,12.132,-0.0034,10541272557.922,inf,inf,11.5549,-10.086,2,0.2222,0.1667,1,0,insufficient,54.8,0.8125,3.0,TOO_FEW_TRADES,710.1
OP/USD,4h,crypto,9,4804,6,3,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1075,2777,952,2,0.375,-0.0012,-0.0121,0.0205,-0.598,-0.33,2.467,-0.0038,551952840.578,0.909,inf,16.1498,-19.9416,2,0.125,0.25,1,0,insufficient,54.1,0.8438,3.0,TOO_FEW_TRADES,1138.9
ETH/USD,4h,crypto,9,4801,6,2,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,637,3513,651,2,0.3056,0.0001,0.0012,0.0076,0.065,0.11,0.19,-0.0021,0.674,inf,inf,11.5275,-9.0379,2,0.1389,0.3333,1,1,insufficient,53.4,0.4375,3.0,TOO_FEW_TRADES,887.4
FIL/USD,4h,crypto,9,4804,6,3,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,997,2952,855,2,0.3167,-0.0017,-0.0152,0.0559,-0.574,-0.289,0.38,-0.0054,6545498800.262,inf,inf,15.5775,-18.0718,3,0.3167,0.0,2,0,insufficient,53.1,0.5938,3.0,TOO_FEW_TRADES,897.5
DOGE/USD,4h,crypto,9,4803,6,2,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,869,3007,927,4,0.2556,0.0003,0.0037,0.0417,0.0,0.005,1.256,-0.0046,0.89,inf,inf,22.0945,-12.4306,5,0.2278,0.2222,2,1,insufficient,52.9,0.5625,3.0,TOO_FEW_TRADES,1118.1
AAVE/USD,4h,crypto,9,4803,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,902,2941,960,3,0.2778,-0.0004,-0.004,0.0339,-0.072,-0.03,0.209,-0.004,0.995,inf,inf,23.5075,-15.6349,3,0.3333,0.0333,2,1,insufficient,52.4,0.5625,3.0,TOO_FEW_TRADES,1158.6
XRP/USD,4h,crypto,9,4801,6,2,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,658,3460,683,1,0.375,-0.0005,-0.0048,0.0196,-0.26,-0.023,3.917,-0.0022,5341855235.171,inf,inf,7.5571,-7.0837,3,0.375,0.0,1,0,insufficient,52.2,0.8125,3.0,TOO_FEW_TRADES,1140.6
GRT/USD,4h,crypto,9,4804,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1051,2835,918,3,0.1833,-0.0003,-0.0026,0.043,0.203,0.301,1.277,-0.0034,0.674,inf,inf,7.104,-9.2934,3,0.1667,0.25,2,1,insufficient,52.2,0.625,3.0,TOO_FEW_TRADES,1219.7
