symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,calmar,max_drawdown,status,elapsed_s
EOS/USD,12h,crypto,9,1261,3,1,2024-11-15→2025-01-10 | 2025-01-11→2025-03-08 | 2025-03-08→2025-05-03,62,1137,62,0,0.3333,0.0047,0.0318,0.045,0.762,20.243,-0.0005,TOO_FEW_TRADES,81.7
EOS/USD,1d,crypto,9,896,3,0,2024-08-12→2024-10-30 | 2024-10-31→2025-01-18 | 2025-01-19→2025-04-08,31,837,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,64.7
UNI/USD,30m,crypto,9,9145,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3604,1852,3689,5,0.3722,-0.0106,-0.1081,0.4533,-2.859,1.908,-0.0368,TOO_FEW_TRADES,496.8
UNI/USD,1h,crypto,9,9271,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2914,3785,2572,13,0.3181,-0.017,-0.0808,0.3871,-1.336,0.28,-0.0557,TOO_FEW_TRADES,503.8
UNI/USD,4h,crypto,9,4570,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,714,3171,685,12,0.3677,0.0057,0.0394,0.1517,0.249,1.606,-0.0409,+ MARGINAL,250.5
UNI/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,86,1079,96,0,0.0,-0.0055,-0.0346,0.0245,-0.759,-2.11,-0.0135,TOO_FEW_TRADES,83.2
UNI/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,37,880,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,57.4
AAVE/USD,30m,crypto,9,9156,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3529,2020,3607,3,0.4778,0.0025,0.1253,0.4327,-0.914,5.433,-0.0172,TOO_FEW_TRADES,492.6
AAVE/USD,1h,crypto,9,9270,3,0,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2938,3645,2687,15,0.3441,-0.0136,-0.1252,0.1265,-0.81,-2.061,-0.0525,- LOSS,506.0
AAVE/USD,4h,crypto,9,4570,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,664,3171,735,13,0.3623,-0.0029,-0.0121,0.086,-0.18,0.033,-0.0509,- LOSS,251.2
