symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
S/USD,4h,crypto,9,1862,6,0,2026-01-21→2026-02-04 | 2026-02-04→2026-02-17 | 2026-02-18→2026-03-03 | 2026-03-03→2026-03-17 | 2026-03-17→2026-03-31 | 2026-03-31→2026-04-14,458,1095,309,0,0.0833,-0.0,-0.0008,0.0017,-0.048,-0.029,-0.307,-0.0004,0.147,inf,inf,2.1575,-2.4439,1,0.0833,0.0,0,0,insufficient,41.1,1.0,3.0,TOO_FEW_TRADES,14.1
BCH/USD,1d,crypto,9,1728,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,148,1415,165,0,0.1667,0.0001,0.0037,0.0424,-1.04,-0.465,-1.186,-0.0011,4659212800.076,inf,inf,4.6592,-3.8184,1,0.0,0.1667,0,0,insufficient,41.0,0.5,3.0,TOO_FEW_TRADES,16.8
COMP/USD,4h,crypto,9,4793,6,1,2025-09-11→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,824,3180,789,1,0.25,-0.0005,-0.0043,0.0397,-1.482,-0.949,-0.118,-0.0036,12137329175.257,inf,inf,10.4055,-16.3349,3,0.25,0.0,1,0,insufficient,40.7,0.6875,3.0,TOO_FEW_TRADES,48.0
XRP/USD,4h,crypto,9,4801,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,658,3460,683,1,0.2083,-0.0013,-0.0132,0.0164,-1.349,-0.672,-2.015,-0.0026,1463058174.951,inf,inf,3.678,-11.3871,3,0.2083,0.0,1,0,insufficient,40.4,0.9375,3.0,TOO_FEW_TRADES,57.8
BTC/USD,1d,crypto,9,1729,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,81,1544,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,324.8
ETH/USD,1d,crypto,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,137,1443,149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,17.8
SOL/USD,1d,crypto,9,1562,6,0,2025-02-18→2025-04-28 | 2025-04-29→2025-07-07 | 2025-07-08→2025-09-15 | 2025-09-16→2025-11-24 | 2025-11-25→2026-02-02 | 2026-02-03→2026-04-13,174,1176,212,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,15.8
ADA/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,164,1393,173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,-0.2503,1,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,18.1
AVAX/USD,1d,crypto,9,1376,6,0,2025-04-14→2025-06-13 | 2025-06-14→2025-08-13 | 2025-08-14→2025-10-13 | 2025-10-14→2025-12-13 | 2025-12-14→2026-02-12 | 2026-02-13→2026-04-14,138,1069,169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,13.2
DOT/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,172,1386,172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,18.4
POL/USD,1d,crypto,9,564,6,0,2025-10-17→2025-11-15 | 2025-11-16→2025-12-15 | 2025-12-16→2026-01-14 | 2026-01-15→2026-02-13 | 2026-02-14→2026-03-15 | 2026-03-16→2026-04-14,60,444,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,7.0
LTC/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,158,1424,148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,18.0
DOGE/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,180,1362,188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,14.3
NEAR/USD,1d,crypto,9,1199,6,0,2025-06-01→2025-07-23 | 2025-07-24→2025-09-14 | 2025-09-15→2025-11-06 | 2025-11-07→2025-12-29 | 2025-12-30→2026-02-20 | 2026-02-21→2026-04-14,140,891,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,8.6
EOS/USD,1d,crypto,9,1618,6,0,2024-04-25→2024-07-05 | 2024-07-06→2024-09-15 | 2024-09-16→2024-11-26 | 2024-11-27→2025-02-06 | 2025-02-07→2025-04-19 | 2025-04-20→2025-06-30,189,1251,178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,14.3
MKR/USD,1d,crypto,9,1309,6,0,2024-07-18→2024-09-13 | 2024-09-14→2024-11-10 | 2024-11-11→2025-01-07 | 2025-01-08→2025-03-06 | 2025-03-07→2025-05-03 | 2025-05-04→2025-06-30,155,1003,151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,22.6
SNX/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,298,1178,254,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,15.1
