symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,ann_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
POL/USD,1h,crypto,9,9271,5562,1854,1855,1650,2403,1509,270,0,43,0.3023,-0.0606,-0.2555,-2.803,-0.08,0.5934,- LOSS,191.0
POL/USD,4h,crypto,9,3494,2096,699,699,341,1468,287,94,0,18,0.3889,-0.0491,-0.1459,-1.316,-0.1452,0.4083,- LOSS,74.9
POL/USD,12h,crypto,9,1021,612,204,205,47,520,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1235,TOO_FEW_TRADES,35.1
POL/USD,1d,crypto,9,524,314,105,105,13,289,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0574,TOO_FEW_TRADES,16.0
LTC/USD,1h,crypto,9,9271,5562,1854,1855,1461,2598,1503,243,19,37,0.4865,0.0143,0.0694,0.725,-0.0552,0.5474,+ MARGINAL,190.4
LTC/USD,4h,crypto,9,4561,2736,912,913,289,2156,291,13,10,8,0.5,0.0215,0.0524,0.998,-0.0225,0.2471,+ MARGINAL,96.5
LTC/USD,12h,crypto,9,1261,756,252,253,37,684,35,3,0,1,1.0,0.0168,0.0492,6.503,-0.0038,0.1305,TOO_FEW_TRADES,39.9
LTC/USD,1d,crypto,9,960,576,192,192,13,547,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0368,TOO_FEW_TRADES,25.7
LTC/USD,1w,crypto,9,332,199,66,67,18,165,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0241,TOO_FEW_TRADES,13.5
BCH/USD,1h,crypto,9,9269,5561,1854,1854,1473,2624,1464,256,13,38,0.3421,-0.0208,-0.0944,-0.9,-0.0588,0.5933,- LOSS,191.1
BCH/USD,4h,crypto,9,4561,2736,912,913,320,2076,340,0,94,18,0.3333,-0.0136,-0.0324,-0.608,-0.0379,0.4054,- LOSS,97.5
BCH/USD,12h,crypto,9,1261,756,252,253,41,674,41,0,17,5,0.4,0.0239,0.0706,3.158,-0.0191,0.2662,+ MARGINAL,39.6
BCH/USD,1d,crypto,9,960,576,192,192,17,537,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0875,TOO_FEW_TRADES,26.6
LINK/USD,1h,crypto,9,9270,5562,1854,1854,1712,2109,1741,270,0,47,0.5106,0.0704,0.3792,2.785,-0.0451,0.6885,** STRONG,190.5
LINK/USD,4h,crypto,9,4561,2736,912,913,368,1946,422,52,20,19,0.3158,0.0125,0.0303,0.338,-0.0794,0.3472,~ WEAK+,96.2
LINK/USD,12h,crypto,9,1261,756,252,253,47,658,51,0,5,1,0.0,-0.0106,-0.0304,-2.718,-0.0201,0.1977,TOO_FEW_TRADES,39.6
LINK/USD,1d,crypto,9,960,576,192,192,12,539,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0587,TOO_FEW_TRADES,27.1
DOGE/USD,1h,crypto,9,9272,5563,1854,1855,1791,2152,1620,269,0,42,0.3095,-0.0378,-0.1664,-1.607,-0.0837,0.5797,- LOSS,191.0
DOGE/USD,4h,crypto,9,4562,2737,912,913,393,1885,459,52,31,25,0.32,-0.0279,-0.0656,-0.72,-0.0996,0.3555,- LOSS,96.1
DOGE/USD,12h,crypto,9,1261,756,252,253,46,661,49,2,0,1,0.0,-0.0116,-0.033,-0.638,-0.0713,0.1411,TOO_FEW_TRADES,40.3
DOGE/USD,1d,crypto,9,960,576,192,192,18,531,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1438,TOO_FEW_TRADES,30.1
ETC/USD,1h,crypto,9,9066,5439,1813,1814,1572,2344,1523,263,0,47,0.2766,-0.069,-0.2919,-1.907,-0.0896,0.7915,- LOSS,188.0
ETC/USD,4h,crypto,9,4561,2736,912,913,305,2129,302,3,3,3,0.3333,-0.0016,-0.0038,-0.05,-0.0221,0.1908,TOO_FEW_TRADES,96.2
ETC/USD,12h,crypto,9,1261,756,252,253,35,686,35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0901,TOO_FEW_TRADES,40.4
ETC/USD,1d,crypto,9,960,576,192,192,12,549,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0415,TOO_FEW_TRADES,25.8
XLM/USD,1h,crypto,9,9272,5563,1854,1855,1631,2552,1380,265,0,42,0.2857,-0.0548,-0.2338,-2.443,-0.0845,0.5997,- LOSS,191.7
XLM/USD,4h,crypto,9,4561,2736,912,913,266,2184,286,32,5,19,0.3684,0.0291,0.0711,0.735,-0.0462,0.2656,+ MARGINAL,97.2
XLM/USD,12h,crypto,9,1261,756,252,253,33,681,42,3,0,1,1.0,0.0272,0.0804,4.751,-0.0145,0.1438,TOO_FEW_TRADES,40.4
XLM/USD,1d,crypto,9,960,576,192,192,13,550,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0616,TOO_FEW_TRADES,26.6
ATOM/USD,1h,crypto,9,9272,5563,1854,1855,1642,2310,1611,270,0,35,0.2857,-0.0626,-0.2631,-3.093,-0.0647,0.7831,- LOSS,194.2
ATOM/USD,4h,crypto,9,4561,2736,912,913,354,2026,356,96,0,23,0.2609,-0.0554,-0.1278,-1.414,-0.0749,0.3699,- LOSS,95.8
ATOM/USD,12h,crypto,9,1261,756,252,253,42,670,44,3,0,1,0.0,-0.0198,-0.056,-7.717,-0.0271,0.1902,TOO_FEW_TRADES,39.6
